id,url,title,company,salary,location,work_time,contract_type,scraped_at,description
5417604724,https://www.gumtree.com/p/domestic-jobs/cleaning-job-raynes-park-areas-part-time-private-houses-domestic-cleaner-work/5417604724,Cleaning job Raynes Park areas part time: private houses domestic cleaner work,www.cleanerjobslondon.com,£13.00 - £13.50 - £14.00 per hour,"Victoria Park, London",Part Time,Cash in Hand,2025-12-24 00:37:44,"Job to start immediately, £13.00 - £14.00 /hr, for domestic cleaner. Best house cleaner jobs in Raynes Park, Copse Hill, Bushey Mead, Morden etc... Get ongoing, steady work. Have the same regular houses every week. Up to ca 15-20 hrs weekly. Receive payment immediately every day (no payment delay) Get paid good money, £££ £12.50 - £13.50 per hour in Sutton areas and Raynes Park + Wimbledon areas £13.00 - £14.00 per hour. (Up to £420/week FT equivalent + tips) You must be: * very good at domestic cleaning. * 100% honest. * totally reliable. * a very good communicator. You will be cleaning busy family homes etc; dusting, hoovering, wiping, mopping, polishing, etc. Sometimes a bit of ironing. Each house generally ca 3 hrs per visit. Apply now if you are a very good cleaning person, completely honest and reliable, and you want to work part time (up to 15-20 hours weekly). Don't forget to put your name, postcode, and how many hours you can work every week. You must live maximum 4 miles / 6 km from the Raynes Park areas. Just apply now using the online form. *"
5417604721,https://www.gumtree.com/p/domestic-jobs/cleaning-job-part-time-beaconsfield-areas-private-houses-domestic-cleaner-work/5417604721,Cleaning job part time Beaconsfield areas: private houses domestic cleaner work,www.cleanerjobslondon.com,£13.50 - £15.00 per hour,"Victoria Park, London",Part Time,Cash in Hand,2025-12-24 00:37:44,"Job to start immediately, £13.50 - £15.00 /hr, for domestic cleaners Best house cleaning jobs in Beaconsfield, Penn, Hazelmere, Amersham, etc... Get ongoing, steady work. Have the same regular houses every week. Up to ca 15-20 hrs weekly. Receive your payment immediately every day (no payment delay). (Up to £420/week FT equivalent + tips) Get paid good money, £££ £13.50 - £14.00 - £15.00, per hour. You must be: * very good at domestic cleaning. * 100% honest. * totally reliable. * a very good communicator. You will be cleaning busy family homes etc; dusting, hoovering, wiping, mopping, polishing, etc. Sometimes a bit of ironing. Each house generally ca 3 hrs per visit. Apply now if you are a very good cleaning person, completely honest and reliable, and you want to work part time (up to 15-20 hours weekly). Don't forget to put your name, postcode, and how many hours you can work every week. You must live maximum 4 miles / 6 km from the areas mentioned. Just apply now using the online form. *"
5417604720,https://www.gumtree.com/p/domestic-jobs/cleaner-job-stanmore-hatch-end-bushey-part-time-private-houses-domestic-cleaning-work/5417604720,"Cleaner job Stanmore, Hatch End, Bushey, part time; private houses domestic cleaning work",www.cleanerjobslondon.com,£13.50 - £14.50 per hour,"Victoria Park, London",Part Time,Cash in Hand,2025-12-24 00:37:47,"Local job, regular steady work, £13.50 - £14.50 /hr, start immediately. The best domestic cleaner jobs in Stanmore, Hatch End, Bushey, etc... Get ongoing, steady work. Have the same regular houses every week. Up to ca 15-20 hrs weekly. Receive payment immediately every day (no payment delay) Get paid good money, Stanmore, Hatch End, Bushey areas £££13.50 - £14.50 per hour. (Up to £420/week FT equivalent + tips) You can have work daytime on the days+hours you can do. You must be: * very good at domestic cleaning. * 100% honest. * totally reliable. * a very good communicator. You will be cleaning busy family homes etc; dusting, hoovering, wiping, mopping, polishing, etc. Sometimes a bit of ironing. Each house on average about 3 hours per visit. Apply now if you are a very good cleaning person, if you are completely honest & reliable, and you want to work part time (up to 15-20 hours weekly). Remember to put your name, postcode, and how many hours you can work every week. You must live maximum 4 miles / 6 km from the Stanmor areas shown. Just apply now using the online form. *"
5417603608,https://www.gumtree.com/p/delivery-driver-jobs/removals-driver-for-removals-company-/5417603608,Removals Driver for Removals company,,,"Victoria Park, London",Full Time,Cash in Hand,2025-12-24 00:37:47,"Removals Driver Wanted – N17 We are a small, growing removals company based in N17, looking for an experienced Removals Driver to join our team. Requirements: Positive attitude, punctual, and reliable Presentable and comfortable working with corporate clients Good command of spoken and written English Able to work well both independently and as part of a team Willing to take responsibility and show initiative Keen to learn, grow, and progress within the company Added bonus: Handyman skills, including the ability to dismantle and reassemble furniture and beds Details: Minimum 3 days per week, up to 6 days per week available Pay negotiable based on experience Clear opportunities for career progression as the company continues to grow Cash payment available for the right candidate Must live in N17 or within easy reach (approximately 10 minutes’ walk or similar commute) If you’re motivated, hardworking, and looking to be part of a professional but friendly team, we’d love to hear from you. 📩 Get in touch to apply"
5417603315,https://www.gumtree.com/p/drivers-and-instructors-jobs/van-driver-security-door-supervisor-available-jobs-full-time-we-help-to-obtain-sia-licence/5417603315,Van Driver Security | Door Supervisor |Available jobs | Full Time | We help to obtain SIA Licence,INFO EXPERT COMPANY LIMITED,Up to £2600 per month,"Old Street, London",Full Time,Cash in Hand,2025-12-24 00:37:47,"We are looking for a candidates on vacancies available for security guards in various spheres within London. Following are some roles we have available vacancies for a CCTV Operator as well for the Door Supervisor roles in different spheres. We have a available jobs for the Security Guards in different spheres as Corporate security, Residential security, Hotel security, Retail security , Bars & Clubs security, Underground security, Construction security and in others spheres. We have Visa Sponsorship Jobs. All roles are flexible to suite your requirements, we are looking for individuals to fill our vacancies. Flexible working contracts. The wages weekly paymen or every two weeks dependent on employers. Day and Night shifts available with wages from £13 to £18 ph and up to £2600 per month. We can pay cash in hand too. Full time or part time available jobs. Full training will be given for all roles so don’t worry if you don’t have SIA Licence or if you have never worked in the Security Industry. If you are candidate with SIA Licence then we provide job offer straight away and if you candidate without SIA Licence then we’ll help you to obtain SIA Licence and the job offer with contract. Please apply and we’ll contact you."
5417603248,https://www.gumtree.com/p/domestic-jobs/£13-14-per-hour-cash-domestic-cleaners-twyford-berkshireand-surrounding-areas-/5417603248,£13-14 PER HOUR CASH DOMESTIC CLEANERS TWYFORD BERKSHIREAND SURROUNDING AREAS,LOCAL CLEANERS,£13-14 PER HOUR CASH CLEANERS GET PAID DIRECT FROM CLIENTS FOLLOWING EACH VISIT,"Victoria Park, London",Part Time,Cash in Hand,2025-12-24 00:37:50,£13-14; PER HOUR PAID IN CASH RELIABLE;CLEANERS WANTED FOR LOCAL CLIENTS TYPICALLY BETWEEN 2-4 ;HOURS PER VISIT CLEANERS WILL BE PAID CASH DIRECT FOLLOWING EACH CLEAN PART-TIME/FLEXIBLE HOURS NORMALLY BETWEEN 9 TO 3 PM SOME EVENINGS AND WEEKENDS CLEANERS GET £15 PER HOUR FOR ONE OFF CLEANS DIRECT. PRODUCTS SUPPLIED BY CLIENTS.
5417602984,https://www.gumtree.com/p/fundraising-jobs/fundraisers-wanted-now-cash-in-hand-job-paid-the-same-day/5417602984,Fundraisers Wanted Now - Cash in Hand Job - Paid The Same Day,,,"Pinner, London",Part Time,Cash in Hand,2025-12-24 00:37:50,"** AVAILABLE - TEMP WORK. ** FULL TIME or PART TIME ** FLEXIBLE HOURS The role is to promote charity organisation who is helping the homeless members of our community by raising awareness and Fundraising at pre-booked locations in and out of London. We are looking for enthusiastic and good hearted individuals from all backgrounds and experience levels who can interact in a positive way with the public and well represent to our organisation and it's activities . To apply please text' to 'Cash in Hand' to 07861658221 for more information. This is a field based vacancy so you must be able to travel daily. We hold events daily, weekly, and monthly and currently looking to hire immediately. We have pre- booked locations such as shopping centres, supermarkets and stations across and beyond London. Any previous Sales, Marketing, Retail and Customer Service experience would be an asset but is not essential. Essential Requirements: · Be UK resident and London based. · Be at least 18 years old. · Fluent in English with good communication skills and an ability to clearly explain charity activities · Well groomed and presentable · Strong time management and organisational skills, good time keeping In exchange you will benefit from: · the opportunity to develop your skills in sales, marketing and communication · being paid cash daily · flexible hours, flexible work time · meeting new people from all walks of life · gaining confidence and resilience To apply and get more information about this exciting opportunity, please text the word ‘Cash in Hand' to 07861658221 to get started. Our team member shall be in touch to provide more information and to arrange an appointment/ training at our office. We look forward to hearing from you today!"
5417602673,https://www.gumtree.com/p/admin-and-pa-jobs/hotel-receptionist-bar-waiting-kitchen-the-hotel-staff-full-the-part-time-available-jobs/5417602673,"Hotel Receptionist | Bar, Waiting, Kitchen & The Hotel Staff | Full & The Part time Available jobs",INFO EXPERT COMPANY LIMITED,Up to £2600 per month,United Kingdom,Full Time,Cash in Hand,2025-12-24 00:37:50,"We are looking for a candidates for the vacancies available in various roles as Hotel Bar Waiting & the Kitchen Staff in Hospitality sector We have vacancies available in central London and other locations The candidate must have the right to work in the UK, be over 18 years old. Have a conversational level of English. We are looking for candidates for our Hotel Bar Waiting & the Kitchen staff chains where people from British Citizens, Latin America,Italy,France,Spain, Romania,Latvia,Lithuania,Bulgaria, Hungary and other countries already work, but the main criterion for getting a vacancy is the presence of conversational English. Important skills needed to improve your suitability for the requirements. Quality customer service. Always be neat and responsive to people. Skills required for the above posts: Customer service skills Willingness to gain new skills Be punctual and presentable Vacancies available to start immediately. Full time and part time available jobs. The wages from £13 - £18 per hr up to £2600 per month Training available when required to support you to attain necessary skills Please apply and we’ll contact you"
5417602318,https://www.gumtree.com/p/carers-jobs/housekeeper-carer-required/5417602318,Housekeeper/carer required,,£14 per hour,"Colchester, Essex",Part Time,Cash in Hand,2025-12-24 00:37:52,"Female housekeeper/carer required for a woman, Monday to Friday mornings, 2.5 hours per day, plus an hour on Saturday evenings. Main duties include cooking, cleaning, laundry and some admin. Additional need to drive daughter to and from a local city farm on Monday and Friday daytime. This could be a separate role, or integrated with the main one."
5417380680,https://www.gumtree.com/p/retail-jobs/brand-ambassador/5417380680,Brand Ambassador,URBAN,,"Wolverhampton, West Midlands",Part Time,Cash in Hand,2025-12-24 00:37:52,"Position: Brand ambassador Get Daily Payment in Cash Location: London Call or Text “HEART” to 07427748080 for a quick response from our HR department. GET PAID DAILY. Are you passionate about making a difference in your community? Join our team as a brand ambassador , where you'll have the opportunity to engage face-to-face with the public, provide vital information about our mission, and sell food packages to support local food banks and soup kitchens in London. Call or Text “HEART” to 07427748080 for a quick response from our HR department. GET PAID DAILY. Key Responsibilities: Conduct face to face sales and engage with members of the public in various locations across London. Educate individuals about our organisation's mission and the importance of supporting food banks and soup kitchens. Present information about our food packages, including their contents and how they contribute to alleviating hunger in the community. Actively promote and sell food packages, emphasising their value and impact. Collect and take payments via card machines to generate high earnings. Provide excellent customer service by addressing any questions or concerns from potential customers. Collaborate with team members to meet sales targets and contribute to the overall success of our campaign efforts. Requirements: Strong interpersonal and communication skills, with the ability to engage effectively with diverse audiences. Previous experience in face-to-face sales or fundraising is preferred but not required; training will be provided on the day. Self-motivated and results-oriented, with a passion for making a positive impact in the community. Comfortable working outdoors and being able to travel to sites in London. Ability to work flexible hours, including evenings and weekends, to maximise outreach opportunities. Compensation: Competitive commission-based pay structure, with the potential for significant earnings based on performance. Training provided to equip you with the knowledge and skills needed to succeed in the role. Flexible scheduling to accommodate your availability and lifestyle. Payment will be made in cash on the day of work. Zero-hour contract, providing freedom and no long-term commitment. Join us in our mission to combat food insecurity and support those in need in London. Become a brand ambassador and be a driving force in our efforts to make a difference in the community. Apply now and start making an impact today! Call or Text “HEART” to 07427748080 for a quick response from our HR department. GET PAID DAILY. Position: Brand Ambassador - Get Daily Payment in Cash"
5417380691,https://www.gumtree.com/p/fundraising-jobs/cash-in-hand-daily-pay-full-part-time-must-be-able-to-travel-good-communication-needed/5417380691,CASH IN HAND DAILY PAY - FULL/PART TIME - MUST BE ABLE TO TRAVEL - GOOD COMMUNICATION NEEDED,URBAN WORKAHOLICS LTD,,"Pinner, London",Full Time,Cash in Hand,2025-12-24 00:37:52,"PLEASE NO TIME WASTERS. IF YOU WISH TO WORK CASH IN HAND IMMEDIATE START CALL NOW!!! START ANYDAY THIS WEEK NO CV REQUIRED JUST CALL OR TEXT THE WORD "" CHAMPION "" to 07365 995 075 WE PAY CASH ON THE DAY - GET PAID DAILY IN CASH FULL OR PART TIME - WEEKENDS No Experience is necessary as we provide full product/service coaching, although we do welcome candidates with previous experience in Fundraising, Sales, Customer Service, Advertising, Promotions, Retail, Call Centre, Hospitality or Marketing. Currently our business is booming in 2025; so we are now hiring talented well-spoken individuals, who can represent our company ethos. The role is to promote our new client raising awareness of the activities they do. You must be able to start immediately; either Full Time or Part Time, Week Days or Weekends. This is a field-based vacancy. We hold events daily, weekly and monthly and are currently looking to hire immediately. Please text the word "" CHAMPION "" for fast response to 07365 995 075 We are located in the heart of London, an established company with high reputation and recognition for the services we provide to our clients. We would love for you to join our team at our new Branch CALL or TEXT NOW the words "" CHAMPION "" 07365 995 075 - FOR THE OPPORTUNITY TO START YOUR CAREER NOW! Mobile/Whatsapp: 07365 995 075 ALL CANDIDATES MUST 16 AND OVER AND LIVE IN THE UK - LONDON AREA AND MUST BE ABLE TO COMMUTE TO OUR LONDON OFFICE DAILY! Please note that all openings are based in the field with income purely based on performance, the harder you work the greater your rewards, which includes face to face customer service and promotional work. There are also business development opportunities for the more ambitious, who consistently achieve high quality results. This is a great opportunity for high earners who are comfortable in their abilities; who love to interact and talk to people. NO CV required just call or text the word "" CHAMPION "" to 07365 995 075 so that our Recruitment Team can get in touch with you as soon as possible!"
